9/01/2019,33,34,7,13,33,11,0,33,33,8,0,47,,66,0,38,20,,33,7000,6100,5900,5200,129,,1039,364,,18,144,48,3,,387,0,381,0,1,32,1,30,1,47,1,10,0,13,0,11,0,4,,228,40,,113,30,,10,85,10,47,,40,40,45,55
10/01/2019,33,45,7,2,33,30,0,32,33,20,0,50,,,,,34,6900,5800,6100,5600,137,,982,353,,,133,44,25,,362,0,380,0,2,33,1,19,1,31,1,4,0,6,0,4,0,4,,221,10,,111,80,,10,47,9,15,,40,40,50,55,,
11/01/2019,33,84,6,70,33,65,0,32,33,50,0,48,,66,20,37,60,,38,5900,5100,6300,5400,138,,996,313,,30,149,49,57,,405,0,390,0,1,51,1,53,1,40,0,76,<0.01,<0.01,<0.01,,228,90,4,109,30,,10,54,8,53,,40,45,50,60,,,
12/01/2019,33,91,6,28,33,74,0,32,33,60,0,50,,,,,28,8400,7800,7800,6900,132,,1020,367,,,142,47,32,,365,0,339,0,0,54,0,80,0,78,0,71,0,4,0,5,0,5,,234,60,,111,90,,11,70,9,91,,40,50,55,55,,
13/01/2019,33,65,6,79,33,74,0,31,33,14,0,43,,,,,13,5800,5600,8800,6800,136,,949,312,,34,99,33,16,,364,0,379,0,2,19,0,67,0,73,0,54,0,5,0,4,0,10,,228,90,,110,20,,10,91,9,22,,35,40,50,55,,
14/01/2019,34,3,5,82,33,98,0,31,33,73,0,49,,64,0,37,10,,31,6400,5700,6700,5800,167,,1032,348,,38,116,38,70,,379,0,350,0,1,90,2,13,0,65,0,46,<0.01,<0.01,<0.01,,247,90,,105,10,,11,49,9,37,,35,40,55,60,,,
15/01/2019,32,73,6,72,32,60,0,32,32,50,0,48,,,,,27,6100,5600,6400,5900,140,,1163,362,,,79,26,36,,367,0,450,0,0,25,4,16,0,54,1,10,0,4,0,5,0,6,,282,40,,112,70,,10,97,9,5,,35,40,45,55,,
16/01/2019,32,70,6,30,32,49,0,34,32,29,0,49,,58,90,38,10,,33,7600,6900,6500,5800,124,,1005,377,,22,110,36,62,,383,0,359,0,4,40,3,21,1,33,1,43,0,8,0,9,<0.01,,232,70,,121,30,,11,2,10,26,,35,40,50,55,
17/01/2019,32,47,5,88,32,11,0,35,32,21,0,47,,,,,35,5300,4600,6800,5900,143,,859,358,,,104,34,57,,313,0,336,0,2,3,2,34,1,13,0,87,<0.01,<0.01,<0.01,,206,70,,123,60,,12,22,9,92,,35,45,50,60,,,,,
18/01/2019,33,2,6,92,32,90,0,34,32,80,0,48,,65,90,38,10,,31,6500,5900,6300,5600,140,,1042,395,,57,121,40,46,,362,0,364,0,1,12,2,8,0,99,1,34,0,13,0,7,0,7,,243,30,3,89,33,,11,13,9,60,,30,35,45,50
19/01/2019,32,92,6,55,32,80,0,34,32,70,0,45,,,,,33,6200,5300,6900,5900,136,,928,337,,,146,48,54,,362,0,356,0,2,1,2,55,1,72,1,53,<0.01,<0.01,0,12,,229,80,,114,20,,12,21,10,9,,35,40,45,55,,,,
20/01/2019,33,38,6,54,33,16,0,36,33,5,0,45,,,,,32,8000,7400,5900,5100,123,,945,367,,14,121,40,33,,328,0,362,0,1,33,1,73,1,31,0,75,0,6,0,9,0,6,,212,60,,115,60,,10,56,10,24,,35,40,50,55,,
21/01/2019,33,7,6,74,33,5,0,34,33,0,0,46,,63,10,38,0,,29,5800,5700,5800,5700,189,,903,328,,37,96,31,94,,376,0,390,0,1,96,1,70,0,96,1,53,0,9,0,6,0,10,,224,40,,113,30,,10,95,10,35,,35,40,45,50
22/01/2019,33,31,6,67,33,26,0,34,33,9,0,51,,,,,29,6700,5900,6300,5700,141,,1069,364,,,112,37,40,,394,0,335,0,0,91,1,64,0,78,0,57,0,7,0,9,0,4,,241,0,,114,50,,10,25,9,40,,35,45,55,60,,
23/01/2019,33,35,6,70,33,15,0,34,33,5,0,48,,66,70,38,40,,32,6100,5500,5800,5200,145,,965,379,,34,144,47,96,,356,0,373,0,3,29,1,43,1,4,1,13,0,8,0,6,0,8,,222,70,,115,90,,10,60,9,26,,35,40,50,55
24/01/2019,33,71,5,85,33,50,0,33,33,42,0,49,,,,,35,8600,7900,7700,6800,116,,991,385,,,149,49,50,,352,0,376,0,0,95,2,3,1,10,0,78,0,10,0,6,0,4,,223,60,,111,60,,10,87,12,19,,35,40,50,60,,
25/01/2019,33,67,5,71,33,35,0,33,33,12,0,47,,65,10,38,0,,28,5900,5800,6600,6500,145,,867,321,,41,142,47,26,,324,0,372,0,1,3,1,46,0,81,0,75,0,15,0,10,0,6,,214,50,60,107,30,,12,53,10,51,,35,45,50,55
26/01/2019,32,83,6,90,32,70,0,34,32,45,0,50,,,,,31,6200,5500,6500,5800,119,,988,353,,,133,44,44,,415,0,328,0,3,59,2,83,0,69,1,3,0,6,0,9,0,6,,227,50,,109,20,,10,47,9,1,,40,45,55,60,,
27/01/2019,32,95,6,83,32,73,0,35,32,50,0,48,,,,,33,6000,5400,5600,4900,138,,886,321,,57,120,40,2,,355,0,351,0,1,98,2,81,1,11,1,16,<0.01,0,10,<0.01,,213,0,,110,60,,10,52,8,57,,35,45,55,60,,,,
28/01/2019,33,31,7,2,33,12,0,35,33,0,0,49,,65,80,38,10,,32,7300,6600,6500,5900,144,,966,353,,25,136,45,21,,330,0,355,0,1,2,1,64,1,5,0,67,0,6,0,6,0,8,,227,20,,108,50,,10,5,10,23,,40,45,50,55
29/01/2019,33,37,6,98,33,16,0,34,33,5,0,45,,,,,32,6300,5400,5600,5000,126,,901,346,,,123,40,98,,335,0,377,0,2,57,1,97,1,4,1,72,0,5,0,5,0,7,,209,40,,107,40,,9,70,10,12,,30,60,80,85,,
30/01/2019,33,7,6,32,33,1,0,34,32,93,0,52,,67,30,37,40,,30,6700,5600,6200,5100,135,,1024,355,,24,126,42,10,,387,0,337,0,1,26,2,80,0,66,0,64,0,19,0,17,0,9,,246,50,,103,90,,10,35,9,20,,30,45,50,60
31/01/2019,32,38,6,72,32,16,0,34,21,20,0,57,,,,,36,6500,5800,5700,5100,143,,917,385,,,126,41,87,,347,0,361,0,2,24,7,62,1,17,1,32,<0.01,<0.01,0,29,,219,70,,100,90,,9,18,8,84,,40,45,50,60,,,,
1/02/2019,33,84,6,70,33,65,0,32,33,50,0,48,,61,30,38,40,,28,8800,7900,4700,4300,142,,942,359,,28,100,33,17,,327,0,339,0,71,90,13,80,4,26,3,78,0,10,0,7,0,6,,224,60,4,108,0,,10,17,10,73,,35,40,50,60
2/02/2019,33,91,6,28,33,74,0,32,33,60,0,50,,,,,19,8500,8100,6600,6100,93,,808,323,,,103,34,22,,346,0,377,0,5,5,2,29,6,78,5,24,0,12,0,9,0,11,,202,50,,107,60,,11,73,9,97,,35,40,50,55,,
3/02/2019,33,65,6,79,33,74,0,31,33,14,0,43,,,,,27,7800,7200,6400,6000,105,,1529,339,,26,88,29,17,,505,0,,1,79,,4,9,,0,5,0,12,0,5,,324,50,,114,90,,9,43,8,79,,40,40,50,60,,,,,
4/02/2019,34,3,5,82,33,98,0,31,33,73,0,49,,,37,60,,,,,6300,5900,57,,,298,,32,90,29,85,,,,,,3,73,,0,40,0,7,0,8,,,,106,20,,10,98,9,56,,35,40,50,60,,,,,,,
5/02/2019,32,73,6,72,32,60,0,32,32,50,0,48,,,,,,11700,10900,6900,6100,42,,,339,,,78,25,88,,,,,,3,81,,0,6,0,6,0,7,,,,107,0,,9,29,8,56,,40,50,55,65,,,,,,,,
6/02/2019,32,70,6,30,32,49,0,34,32,29,0,49,,,,,,9000,8200,5800,5200,66,,,336,,37,89,29,64,,,,,,3,87,,<0.01,<0.01,<0.01,,,,104,70,,11,78,8,55,,35,40,50,60,,,,,,,,,,,
7/02/2019,32,47,5,88,32,11,0,35,32,21,0,47,,,,,41,9700,8400,6500,5900,85,,946,325,,,73,24,22,,379,0,396,0,10,0,2,24,3,65,3,68,0,6,0,7,0,7,,211,60,,113,80,,10,5,9,14,,30,40,45,55,,
8/02/2019,33,2,6,92,32,90,0,34,32,80,0,48,,63,70,37,50,,34,8800,7900,6100,5500,58,,928,376,,28,77,25,59,,372,0,324,0,1,84,2,42,3,22,3,34,<0.01,<0.01,<0.01,,213,40,4,124,70,,10,25,9,5,,35,40,50,55,,,
9/02/2019,32,92,6,55,32,80,0,34,32,70,0,45,,,,,24,6300,6000,7200,6800,88,,949,363,,,91,30,27,,366,0,371,0,1,96,2,3,2,97,2,73,<0.01,<0.01,<0.01,,226,50,,125,40,,10,57,9,75,,30,40,55,60,,,,,
10/02/2019,33,38,6,54,33,16,0,36,33,5,0,45,,,,,29,6200,5700,6300,5900,88,,805,342,,31,100,33,41,,322,0,354,0,3,50,0,99,2,35,1,92,0,7,0,5,0,7,,206,80,,123,40,,10,61,10,81,,30,40,50,55,,
11/02/2019,33,7,6,74,33,5,0,34,33,0,0,46,,66,70,37,80,,35,6600,5800,6300,5700,99,,915,319,,47,83,27,71,,369,0,332,0,2,45,0,98,1,92,2,22,<0.01,<0.01,0,13,,218,40,,112,0,,9,84,9,2,,35,40,50,55,,
12/02/2019,33,31,6,67,33,26,0,34,33,9,0,51,,,,,31,6500,5700,6200,5500,94,,1047,350,,,115,38,48,,373,0,422,0,2,34,3,26,2,42,2,58,0,3,0,6,0,1,,240,30,,112,0,,9,11,8,88,,40,40,50,60,,
13/02/2019,33,56,5,45,33,21,0,32,33,12,0,49,,62,80,38,20,,28,7300,6600,5900,5200,115,,1079,359,,23,119,39,54,,368,0,376,0,15,10,2,64,2,91,4,4,0,7,0,8,0,4,,236,60,,115,20,,10,28,9,91,,35,40,45,55
14/02/2019,33,69,5,89,33,60,0,31,33,4,0,53,,,,,41,7200,5400,6000,5200,177,,1014,369,,,118,39,44,,365,0,438,0,1,15,1,42,3,60,2,92,<0.01,<0.01,0,6,,233,20,,119,90,,9,68,10,75,,35,40,45,55,,,,
15/02/2019,33,64,6,55,33,29,0,30,33,4,0,41,,65,90,37,80,,32,6800,5700,6400,5300,127,,1061,387,,30,99,32,90,,404,0,344,0,0,91,1,46,1,91,1,51,1,82,0,9,0,7,,247,90,10,123,10,,10,5,10,17,,40,50,55,60
16/02/2019,32,70,6,21,31,49,0,34,32,29,0,51,,,,,33,6600,5800,5800,5200,140,,1040,362,,,124,41,17,,368,0,343,0,3,19,0,85,1,64,1,33,0,4,0,3,0,18,,224,50,,119,10,,11,15,9,73,,,,,,,
17/02/2019,32,47,5,98,32,11,0,30,32,21,0,47,,,,,32,8200,7300,6000,5300,134,,1079,387,,18,143,47,52,,371,0,399,0,1,51,1,7,1,24,1,23,0,5,0,8,0,5,,238,70,,114,10,,10,40,10,30,,,,,,,
18/02/2019,33,11,6,54,31,97,0,34,32,74,0,44,,65,80,38,0,,32,7400,5800,6300,5200,169,,1002,354,,51,108,35,92,,342,0,358,0,2,24,0,92,1,34,1,50,0,2,0,2,0,3,,197,40,,110,50,,10,15,9,65,,,,,
19/02/2019,,,,,,,,,,,33,7700,6200,6500,5300,128,,937,335,,,,,,371,0,349,0,2,33,0,83,1,27,1,31,0,6,0,8,0,6,,235,0,,107,50,,9,62,10,12,,,,,,,,,,,,,,
20/02/2019,,,,,,,,64,10,38,10,,32,6900,6000,6600,5900,103,,948,321,,48,,,,377,0,389,0,0,15,4,10,1,24,1,41,0,4,0,6,0,3,,221,70,,106,40,,9,62,9,74,,,,,,,,,,,,
21/02/2019,,,,,,,,,,,31,8500,7800,7100,6500,106,,984,381,,,,,,358,0,398,0,2,79,0,99,1,21,0,90,0,8,0,8,0,3,,217,80,,111,20,,11,38,10,70,,,,,,,,,,,,,,
